date,max_temp,min_temp,avg_temp
2026-08-16,37.0,24.3,30.65
2026-08-17,33.5,23.9,28.7
2026-08-18,34.3,22.9,28.599999999999998
2026-08-19,34.2,22.8,28.5
2026-08-20,34.2,21.8,28.0
2026-08-21,34.6,22.0,28.3
2026-08-22,35.2,21.7,28.450000000000003
2026-08-23,36.1,22.1,29.1
